City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
414,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
417,Sabang,ID,82.72,overcast clouds,5.8933,95.3214,Hotel Citra
418,Barao De Melgaco,BR,82.92,few clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
427,Biak,ID,84.54,scattered clouds,-0.9131,122.8766,Penginapan Kim
430,Katsuura,JP,82.51,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
438,Minab,IR,81.9,clear sky,27.1467,57.0801,Bam campground
452,Parrita,CR,81.52,light rain,9.5201,-84.3225,Beso del Viento
455,Inverell,AU,81.1,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
463,Tuy Hoa,VN,84.74,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
482,Kieta,PG,84.13,light rain,-6.2167,155.6333,Uruna Bay Retreat
497,Aquiraz,BR,80.69,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
508,Dubti,ET,86.02,light rain,11.7361,41.0853,degu Shiferaw
514,Ternate,ID,84.4,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
515,Banjar,ID,80.46,scattered clouds,-8.19,114.9675,The Hamsa Resort
529,Namatanai,PG,84.04,light rain,-3.6667,152.4333,Seagulls Inn Namatani
531,Taitung,TW,86.27,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
544,Kulhudhuffushi,MV,82.51,broken clouds,6.6221,73.07,Hondaafushi Island Resort
